Line 1 prediction: class 1, actual: class 1
Line 87 prediction: class 0, actual: class 0
Line 88 prediction: class 0, actual: class 1
Line 89 prediction: class 1, actual: class 0
Line 90 prediction: class 0, actual: class 1
Line 91 prediction: class 0, actual: class 1
Line 92 prediction: class 0, actual: class 1
Line 93 prediction: class 0, actual: class 1
Line 94 prediction: class 0, actual: class 0
Line 95 prediction: class 0, actual: class 0
Line 96 prediction: class 0, actual: class 0
Line 97 prediction: class 0, actual: class 0
Line 98 prediction: class 1, actual: class 1
Line 99 prediction: class 0, actual: class 1
Line 100 prediction: class 0, actual: class 0
Line 101 prediction: class 0, actual: class 0
Line 102 prediction: class 0, actual: class 0
Line 103 prediction: class 1, actual: class 1
Line 104 prediction: class 0, actual: class 0
Line 105 prediction: class 0, actual: class 0
Line 106 prediction: class 1, actual: class 1
Line 107 prediction: class 0, actual: class 0
Line 108 prediction: class 0, actual: class 0
Line 109 prediction: class 1, actual: class 1
Line 110 prediction: class 0, actual: class 1
Line 111 prediction: class 0, actual: class 0
Line 112 prediction: class 0, actual: class 0
Line 113 prediction: class 0, actual: class 0
Line 114 prediction: class 0, actual: class 1
Line 115 prediction: class 0, actual: class 0
Line 116 prediction: class 0, actual: class 0
Line 117 prediction: class 0, actual: class 0
Line 118 prediction: class 1, actual: class 1
Line 119 prediction: class 1, actual: class 1
Line 120 prediction: class 0, actual: class 0
Line 121 prediction: class 0, actual: class 0
Line 122 prediction: class 0, actual: class 0
Line 123 prediction: class 0, actual: class 1
Line 124 prediction: class 0, actual: class 0
Line 125 prediction: class 1, actual: class 1
Line 126 prediction: class 0, actual: class 0
Line 127 prediction: class 1, actual: class 1
Line 128 prediction: class 1, actual: class 1
Line 129 prediction: class 1, actual: class 1
Line 130 prediction: class 0, actual: class 0
Line 131 prediction: class 0, actual: class 0
Line 132 prediction: class 1, actual: class 1
Line 133 prediction: class 0, actual: class 0
Line 134 prediction: class 0, actual: class 0
Line 135 prediction: class 0, actual: class 1
Line 136 prediction: class 0, actual: class 0
Line 137 prediction: class 0, actual: class 0
Line 138 prediction: class 0, actual: class 1
Line 139 prediction: class 0, actual: class 0
Line 140 prediction: class 0, actual: class 0
Line 141 prediction: class 0, actual: class 0
Line 142 prediction: class 0, actual: class 0
Line 143 prediction: class 1, actual: class 1
Line 144 prediction: class 0, actual: class 0
Line 145 prediction: class 0, actual: class 1
Line 146 prediction: class 0, actual: class 0
Line 147 prediction: class 0, actual: class 0
Line 148 prediction: class 1, actual: class 1
Line 149 prediction: class 0, actual: class 1
Line 150 prediction: class 0, actual: class 0
Line 151 prediction: class 0, actual: class 0
Line 152 prediction: class 0, actual: class 0
Line 153 prediction: class 1, actual: class 1
Line 154 prediction: class 0, actual: class 0
Line 155 prediction: class 0, actual: class 0
Line 156 prediction: class 0, actual: class 0
Line 157 prediction: class 1, actual: class 1
Line 158 prediction: class 0, actual: class 0
Line 159 prediction: class 0, actual: class 0
Line 160 prediction: class 0, actual: class 0
Line 161 prediction: class 1, actual: class 1
Line 162 prediction: class 0, actual: class 0
Line 163 prediction: class 0, actual: class 0
Line 164 prediction: class 0, actual: class 1
Line 165 prediction: class 0, actual: class 1
Line 166 prediction: class 0, actual: class 1
Line 167 prediction: class 0, actual: class 1
Line 168 prediction: class 0, actual: class 0
Line 169 prediction: class 0, actual: class 0
Line 170 prediction: class 0, actual: class 0
Line 171 prediction: class 0, actual: class 0
Line 172 prediction: class 0, actual: class 0
Line 173 prediction: class 0, actual: class 0
Line 174 prediction: class 0, actual: class 0
Line 175 prediction: class 1, actual: class 1
Line 176 prediction: class 0, actual: class 0
Line 177 prediction: class 0, actual: class 0
Line 178 prediction: class 0, actual: class 1
Line 179 prediction: class 0, actual: class 0
Line 180 prediction: class 0, actual: class 0
Line 181 prediction: class 0, actual: class 0
Line 182 prediction: class 0, actual: class 0
Line 183 prediction: class 0, actual: class 0
Line 184 prediction: class 0, actual: class 1
Line 185 prediction: class 0, actual: class 0
Line 186 prediction: class 0, actual: class 1
Line 187 prediction: class 0, actual: class 0
Line 188 prediction: class 0, actual: class 1
Line 189 prediction: class 0, actual: class 0
Line 190 prediction: class 0, actual: class 0
Line 191 prediction: class 0, actual: class 0
Line 192 prediction: class 0, actual: class 1
Line 193 prediction: class 0, actual: class 0
Line 194 prediction: class 0, actual: class 1
Line 195 prediction: class 0, actual: class 0
Line 196 prediction: class 0, actual: class 0
Line 197 prediction: class 0, actual: class 0
Line 198 prediction: class 0, actual: class 0
Line 199 prediction: class 0, actual: class 0
Line 200 prediction: class 1, actual: class 1
Line 201 prediction: class 0, actual: class 0
Line 202 prediction: class 0, actual: class 0
Line 203 prediction: class 0, actual: class 1
Line 204 prediction: class 0, actual: class 1
Line 205 prediction: class 0, actual: class 0
Line 206 prediction: class 0, actual: class 0
Line 207 prediction: class 1, actual: class 1
Line 208 prediction: class 0, actual: class 0
Line 209 prediction: class 0, actual: class 0
Line 210 prediction: class 1, actual: class 1
Line 211 prediction: class 0, actual: class 0
Line 212 prediction: class 0, actual: class 0
Line 213 prediction: class 1, actual: class 1
Line 214 prediction: class 0, actual: class 0
Line 215 prediction: class 0, actual: class 0
Line 216 prediction: class 0, actual: class 0
Line 217 prediction: class 0, actual: class 0
Line 218 prediction: class 0, actual: class 0
Line 219 prediction: class 0, actual: class 0
Line 220 prediction: class 1, actual: class 1
Line 221 prediction: class 0, actual: class 1
Line 222 prediction: class 0, actual: class 0
Line 223 prediction: class 0, actual: class 0
Line 224 prediction: class 0, actual: class 0
Line 225 prediction: class 1, actual: class 1
Line 226 prediction: class 0, actual: class 0
Line 227 prediction: class 0, actual: class 1
Line 228 prediction: class 0, actual: class 1
Line 229 prediction: class 0, actual: class 0
Line 230 prediction: class 0, actual: class 1
Line 231 prediction: class 0, actual: class 1
Line 232 prediction: class 0, actual: class 0
Line 233 prediction: class 0, actual: class 0
Line 234 prediction: class 0, actual: class 0
Line 235 prediction: class 1, actual: class 1
Line 236 prediction: class 1, actual: class 1
Line 237 prediction: class 0, actual: class 0
Line 238 prediction: class 0, actual: class 0
Line 239 prediction: class 0, actual: class 1
Line 240 prediction: class 0, actual: class 0
Line 241 prediction: class 0, actual: class 0
Line 242 prediction: class 0, actual: class 0
Line 243 prediction: class 0, actual: class 0
Line 244 prediction: class 1, actual: class 1
Line 245 prediction: class 0, actual: class 0
Line 246 prediction: class 1, actual: class 0
Line 247 prediction: class 0, actual: class 0
Line 248 prediction: class 0, actual: class 0
Line 249 prediction: class 0, actual: class 1
Line 250 prediction: class 0, actual: class 0
Line 251 prediction: class 0, actual: class 0
Line 252 prediction: class 0, actual: class 0
Line 253 prediction: class 0, actual: class 1
Line 254 prediction: class 0, actual: class 0
Line 255 prediction: class 1, actual: class 1
Line 256 prediction: class 0, actual: class 0
Line 257 prediction: class 0, actual: class 0
Line 258 prediction: class 0, actual: class 0
Line 259 prediction: class 0, actual: class 0
Line 260 prediction: class 0, actual: class 0
Line 261 prediction: class 0, actual: class 1
Line 262 prediction: class 0, actual: class 0
Line 263 prediction: class 0, actual: class 0
Line 264 prediction: class 0, actual: class 0
Line 265 prediction: class 1, actual: class 0
Line 266 prediction: class 1, actual: class 1
Line 267 prediction: class 0, actual: class 0
Line 268 prediction: class 0, actual: class 1
Line 269 prediction: class 0, actual: class 0
Line 270 prediction: class 0, actual: class 0
Line 271 prediction: class 1, actual: class 1
Line 272 prediction: class 0, actual: class 1
Line 273 prediction: class 0, actual: class 1
Line 274 prediction: class 1, actual: class 1
Line 275 prediction: class 0, actual: class 0
Line 276 prediction: class 0, actual: class 0
Line 277 prediction: class 1, actual: class 1
Line 278 prediction: class 0, actual: class 1
Line 279 prediction: class 0, actual: class 0
Line 280 prediction: class 0, actual: class 0
Line 281 prediction: class 1, actual: class 1
Line 282 prediction: class 0, actual: class 0
Line 283 prediction: class 0, actual: class 0
Line 284 prediction: class 0, actual: class 1
Line 285 prediction: class 0, actual: class 0
Line 286 prediction: class 1, actual: class 1
Line 287 prediction: class 0, actual: class 0
Line 288 prediction: class 1, actual: class 1
Line 289 prediction: class 0, actual: class 1
Line 290 prediction: class 0, actual: class 0
Line 291 prediction: class 0, actual: class 0
Line 292 prediction: class 0, actual: class 0
Line 293 prediction: class 0, actual: class 0
Line 294 prediction: class 0, actual: class 1
Line 295 prediction: class 0, actual: class 0
Line 296 prediction: class 0, actual: class 0
Line 297 prediction: class 0, actual: class 0
Line 298 prediction: class 0, actual: class 0
Line 299 prediction: class 1, actual: class 1
Line 300 prediction: class 0, actual: class 1
Line 301 prediction: class 0, actual: class 0
Line 302 prediction: class 1, actual: class 1
Line 303 prediction: class 0, actual: class 0
Line 304 prediction: class 1, actual: class 1
Line 305 prediction: class 1, actual: class 1
Line 306 prediction: class 0, actual: class 1
Line 307 prediction: class 0, actual: class 0
Line 308 prediction: class 1, actual: class 1
Line 309 prediction: class 0, actual: class 0
Line 310 prediction: class 0, actual: class 0
Line 311 prediction: class 0, actual: class 1
Line 312 prediction: class 0, actual: class 0
Line 313 prediction: class 0, actual: class 0
Line 314 prediction: class 0, actual: class 0
Line 315 prediction: class 0, actual: class 0
Line 316 prediction: class 0, actual: class 0
Line 317 prediction: class 0, actual: class 0
Line 318 prediction: class 0, actual: class 1
Line 319 prediction: class 0, actual: class 0
Line 320 prediction: class 0, actual: class 1
Line 321 prediction: class 0, actual: class 1
Line 322 prediction: class 0, actual: class 0
Line 323 prediction: class 1, actual: class 1
Line 324 prediction: class 0, actual: class 1
Line 325 prediction: class 0, actual: class 1
Line 326 prediction: class 0, actual: class 0
Line 327 prediction: class 0, actual: class 0
Line 328 prediction: class 0, actual: class 0
Line 329 prediction: class 0, actual: class 0
Line 330 prediction: class 0, actual: class 0
Line 331 prediction: class 0, actual: class 0
Line 332 prediction: class 0, actual: class 1
Line 333 prediction: class 1, actual: class 1
Line 334 prediction: class 0, actual: class 0
Line 335 prediction: class 0, actual: class 0
Line 336 prediction: class 0, actual: class 0
Line 337 prediction: class 1, actual: class 1
Line 338 prediction: class 0, actual: class 1
Line 339 prediction: class 1, actual: class 0
Line 340 prediction: class 0, actual: class 0
Line 341 prediction: class 0, actual: class 0
Line 342 prediction: class 0, actual: class 0
Line 343 prediction: class 0, actual: class 0
Line 344 prediction: class 1, actual: class 1
Line 345 prediction: class 1, actual: class 1
Line 346 prediction: class 0, actual: class 0
Line 347 prediction: class 0, actual: class 0
Line 348 prediction: class 0, actual: class 1
Line 349 prediction: class 0, actual: class 0
Line 350 prediction: class 0, actual: class 0
Line 351 prediction: class 1, actual: class 1
Line 352 prediction: class 0, actual: class 1
Line 353 prediction: class 0, actual: class 1
Line 354 prediction: class 1, actual: class 1
Line 355 prediction: class 0, actual: class 0
Line 356 prediction: class 0, actual: class 0
Line 357 prediction: class 1, actual: class 1
Line 358 prediction: class 0, actual: class 0
Line 359 prediction: class 0, actual: class 0
Line 360 prediction: class 0, actual: class 0
Line 361 prediction: class 1, actual: class 1
Line 362 prediction: class 0, actual: class 0
Line 363 prediction: class 1, actual: class 1
Line 364 prediction: class 0, actual: class 0
Line 365 prediction: class 0, actual: class 0
Line 366 prediction: class 0, actual: class 1
Line 367 prediction: class 1, actual: class 1
Line 368 prediction: class 0, actual: class 0
Line 369 prediction: class 0, actual: class 0
Line 370 prediction: class 1, actual: class 1
Line 371 prediction: class 0, actual: class 0
Line 372 prediction: class 0, actual: class 0
Line 373 prediction: class 0, actual: class 0
Line 374 prediction: class 0, actual: class 0
Line 375 prediction: class 1, actual: class 0
Line 376 prediction: class 0, actual: class 0
Line 377 prediction: class 0, actual: class 0
Line 378 prediction: class 0, actual: class 0
Line 379 prediction: class 0, actual: class 0
Line 380 prediction: class 1, actual: class 1
Line 381 prediction: class 0, actual: class 1
Line 382 prediction: class 1, actual: class 1
Line 383 prediction: class 1, actual: class 1
Line 384 prediction: class 0, actual: class 0
Line 385 prediction: class 0, actual: class 0
Line 386 prediction: class 1, actual: class 1
Line 387 prediction: class 0, actual: class 1
Line 388 prediction: class 0, actual: class 0
Line 389 prediction: class 0, actual: class 0
Line 390 prediction: class 0, actual: class 0
Line 391 prediction: class 0, actual: class 0
Line 392 prediction: class 1, actual: class 1
Line 393 prediction: class 0, actual: class 0
Line 394 prediction: class 0, actual: class 0
Line 395 prediction: class 0, actual: class 1
Line 396 prediction: class 0, actual: class 0
Line 397 prediction: class 0, actual: class 0
Line 398 prediction: class 0, actual: class 0
Line 399 prediction: class 0, actual: class 1
Line 400 prediction: class 1, actual: class 0
Line 401 prediction: class 0, actual: class 0
Line 402 prediction: class 0, actual: class 0
Line 403 prediction: class 0, actual: class 0
Line 404 prediction: class 0, actual: class 0
Line 405 prediction: class 1, actual: class 1
Line 406 prediction: class 1, actual: class 1
Line 407 prediction: class 0, actual: class 0
Line 408 prediction: class 0, actual: class 1
Line 409 prediction: class 0, actual: class 0
Line 410 prediction: class 1, actual: class 1
Line 411 prediction: class 0, actual: class 0
Line 412 prediction: class 0, actual: class 0
Line 413 prediction: class 0, actual: class 0
Line 414 prediction: class 0, actual: class 0
Line 415 prediction: class 0, actual: class 0
Line 416 prediction: class 0, actual: class 0
Line 417 prediction: class 0, actual: class 0
Line 418 prediction: class 0, actual: class 0
Line 419 prediction: class 0, actual: class 0
Line 420 prediction: class 0, actual: class 0
Line 421 prediction: class 0, actual: class 0
Line 422 prediction: class 0, actual: class 0
Line 423 prediction: class 0, actual: class 0
Line 424 prediction: class 0, actual: class 0
Line 425 prediction: class 0, actual: class 0
Line 426 prediction: class 0, actual: class 1
Line 427 prediction: class 0, actual: class 0
Line 428 prediction: class 0, actual: class 0
Line 429 prediction: class 0, actual: class 1
Line 430 prediction: class 0, actual: class 0
Line 431 prediction: class 0, actual: class 0
Line 432 prediction: class 0, actual: class 0
Line 433 prediction: class 0, actual: class 0
Line 434 prediction: class 0, actual: class 0
Line 435 prediction: class 0, actual: class 0
Line 436 prediction: class 0, actual: class 0
Line 437 prediction: class 0, actual: class 0
Line 438 prediction: class 0, actual: class 1
Line 439 prediction: class 1, actual: class 1
Line 440 prediction: class 0, actual: class 0
Line 441 prediction: class 0, actual: class 1
Line 442 prediction: class 1, actual: class 0
Line 443 prediction: class 0, actual: class 0
Line 444 prediction: class 0, actual: class 0
Line 445 prediction: class 0, actual: class 1
Line 446 prediction: class 0, actual: class 0
Line 447 prediction: class 1, actual: class 1
Line 448 prediction: class 0, actual: class 0
Line 449 prediction: class 1, actual: class 1
Line 450 prediction: class 0, actual: class 0
Line 451 prediction: class 1, actual: class 1
Line 452 prediction: class 1, actual: class 1
Line 453 prediction: class 0, actual: class 0
Line 454 prediction: class 0, actual: class 0
Line 455 prediction: class 0, actual: class 1
Line 456 prediction: class 0, actual: class 0
Line 457 prediction: class 0, actual: class 0
Line 458 prediction: class 0, actual: class 0
Line 459 prediction: class 0, actual: class 0
Line 460 prediction: class 0, actual: class 0
Line 461 prediction: class 1, actual: class 1
Line 462 prediction: class 1, actual: class 1
Line 463 prediction: class 1, actual: class 1
Line 464 prediction: class 0, actual: class 0
Line 465 prediction: class 0, actual: class 1
Line 466 prediction: class 0, actual: class 0
Line 467 prediction: class 0, actual: class 0
Line 468 prediction: class 0, actual: class 0
Line 469 prediction: class 0, actual: class 1
Line 470 prediction: class 0, actual: class 1
Line 471 prediction: class 0, actual: class 0
Line 472 prediction: class 0, actual: class 0
Line 473 prediction: class 0, actual: class 0
Line 474 prediction: class 0, actual: class 1
Line 475 prediction: class 0, actual: class 1
Line 476 prediction: class 0, actual: class 1
Line 477 prediction: class 0, actual: class 0
Line 478 prediction: class 1, actual: class 1
Line 479 prediction: class 0, actual: class 0
Line 480 prediction: class 0, actual: class 0
Line 481 prediction: class 0, actual: class 0
Line 482 prediction: class 0, actual: class 0
Line 483 prediction: class 0, actual: class 1
Line 484 prediction: class 0, actual: class 0
Line 485 prediction: class 0, actual: class 0
Line 486 prediction: class 0, actual: class 0
Line 487 prediction: class 1, actual: class 1
Line 488 prediction: class 0, actual: class 0
Line 489 prediction: class 0, actual: class 0
Line 490 prediction: class 0, actual: class 0
Line 491 prediction: class 0, actual: class 0
Line 492 prediction: class 1, actual: class 1
Line 493 prediction: class 1, actual: class 1
Line 494 prediction: class 0, actual: class 0
Line 495 prediction: class 1, actual: class 1
Line 496 prediction: class 0, actual: class 0
Line 497 prediction: class 1, actual: class 1
Line 498 prediction: class 0, actual: class 0
Line 499 prediction: class 0, actual: class 0
Line 500 prediction: class 0, actual: class 1
Line 501 prediction: class 0, actual: class 1
Line 502 prediction: class 0, actual: class 0
Line 503 prediction: class 0, actual: class 0
Line 504 prediction: class 1, actual: class 1
Line 505 prediction: class 1, actual: class 1
Line 506 prediction: class 0, actual: class 0
Line 507 prediction: class 0, actual: class 0
Line 508 prediction: class 0, actual: class 0
Line 509 prediction: class 0, actual: class 0
Line 510 prediction: class 0, actual: class 0
Line 511 prediction: class 0, actual: class 1
Line 512 prediction: class 1, actual: class 1
Line 513 prediction: class 0, actual: class 1
Line 514 prediction: class 0, actual: class 0
Line 515 prediction: class 0, actual: class 1
Line 516 prediction: class 0, actual: class 0
Line 517 prediction: class 1, actual: class 0
Line 518 prediction: class 0, actual: class 0
Line 519 prediction: class 0, actual: class 0
Line 520 prediction: class 0, actual: class 1
Line 521 prediction: class 0, actual: class 0
Line 522 prediction: class 0, actual: class 0
Line 523 prediction: class 0, actual: class 0
Line 524 prediction: class 0, actual: class 0
Line 525 prediction: class 1, actual: class 1
Line 526 prediction: class 1, actual: class 1
Line 527 prediction: class 0, actual: class 0
Line 528 prediction: class 0, actual: class 0
Line 529 prediction: class 1, actual: class 1
Line 530 prediction: class 0, actual: class 1
Line 531 prediction: class 0, actual: class 0
Line 532 prediction: class 0, actual: class 0
Line 533 prediction: class 0, actual: class 0
Line 534 prediction: class 0, actual: class 0
Line 535 prediction: class 1, actual: class 1
Line 536 prediction: class 1, actual: class 1
Line 537 prediction: class 0, actual: class 0
Line 538 prediction: class 0, actual: class 0
Line 539 prediction: class 0, actual: class 0
Line 540 prediction: class 0, actual: class 0
Line 541 prediction: class 0, actual: class 0
Line 542 prediction: class 0, actual: class 1
Line 543 prediction: class 0, actual: class 0
Line 544 prediction: class 1, actual: class 1
Line 545 prediction: class 0, actual: class 0
Line 546 prediction: class 1, actual: class 0
Line 547 prediction: class 0, actual: class 0
Line 548 prediction: class 0, actual: class 0
Line 549 prediction: class 0, actual: class 1
Line 550 prediction: class 0, actual: class 1
Line 551 prediction: class 1, actual: class 1
Line 552 prediction: class 1, actual: class 1
Line 553 prediction: class 0, actual: class 0
Line 554 prediction: class 0, actual: class 0
Line 555 prediction: class 0, actual: class 0
Line 556 prediction: class 0, actual: class 0
Line 557 prediction: class 0, actual: class 1
Line 558 prediction: class 0, actual: class 0
Line 559 prediction: class 1, actual: class 1
Line 560 prediction: class 0, actual: class 1
Line 561 prediction: class 1, actual: class 1
Line 562 prediction: class 1, actual: class 1
Line 563 prediction: class 1, actual: class 1
Line 564 prediction: class 0, actual: class 0
Line 565 prediction: class 0, actual: class 0
Line 566 prediction: class 0, actual: class 0
Line 567 prediction: class 1, actual: class 1
Line 568 prediction: class 0, actual: class 1
Line 569 prediction: class 0, actual: class 0
Line 570 prediction: class 0, actual: class 0
Line 571 prediction: class 0, actual: class 0
Line 572 prediction: class 0, actual: class 0
Line 573 prediction: class 0, actual: class 0
Line 574 prediction: class 0, actual: class 0
Line 575 prediction: class 0, actual: class 0
Line 576 prediction: class 0, actual: class 0
Line 577 prediction: class 0, actual: class 0
Line 578 prediction: class 0, actual: class 0
Line 579 prediction: class 0, actual: class 0
Line 580 prediction: class 0, actual: class 1
Line 581 prediction: class 1, actual: class 1
Line 582 prediction: class 0, actual: class 0
Line 583 prediction: class 0, actual: class 1
Line 584 prediction: class 0, actual: class 1
Line 585 prediction: class 1, actual: class 1
Line 586 prediction: class 0, actual: class 0
Line 587 prediction: class 0, actual: class 0
Line 588 prediction: class 1, actual: class 1
Line 589 prediction: class 0, actual: class 0
Line 590 prediction: class 0, actual: class 0
Line 591 prediction: class 0, actual: class 0
Line 592 prediction: class 0, actual: class 1
Line 593 prediction: class 0, actual: class 0
Line 594 prediction: class 1, actual: class 1
Line 595 prediction: class 0, actual: class 0
Line 596 prediction: class 0, actual: class 0
Line 597 prediction: class 0, actual: class 0
Line 598 prediction: class 1, actual: class 1
Line 599 prediction: class 1, actual: class 1
Line 600 prediction: class 0, actual: class 1
Line 601 prediction: class 0, actual: class 0
Line 602 prediction: class 0, actual: class 1
Line 603 prediction: class 0, actual: class 1
Line 604 prediction: class 0, actual: class 0
Line 605 prediction: class 0, actual: class 1
Line 606 prediction: class 0, actual: class 0
Line 607 prediction: class 1, actual: class 1
Line 608 prediction: class 0, actual: class 0
Line 609 prediction: class 1, actual: class 1
Line 610 prediction: class 0, actual: class 0
Line 611 prediction: class 0, actual: class 1
Line 612 prediction: class 1, actual: class 1
Line 613 prediction: class 0, actual: class 1
Line 614 prediction: class 0, actual: class 1
Line 615 prediction: class 0, actual: class 1
Line 616 prediction: class 0, actual: class 0
Line 617 prediction: class 1, actual: class 1
Line 618 prediction: class 0, actual: class 0
Line 619 prediction: class 0, actual: class 0
Line 620 prediction: class 0, actual: class 1
Line 621 prediction: class 0, actual: class 0
Line 622 prediction: class 0, actual: class 0
Line 623 prediction: class 0, actual: class 1
Line 624 prediction: class 0, actual: class 0
Line 625 prediction: class 1, actual: class 1
Line 626 prediction: class 0, actual: class 1
Line 627 prediction: class 0, actual: class 0
Line 628 prediction: class 1, actual: class 1
Line 629 prediction: class 0, actual: class 1
Line 630 prediction: class 0, actual: class 0
Line 631 prediction: class 0, actual: class 1
Line 632 prediction: class 1, actual: class 1
Line 633 prediction: class 1, actual: class 1
Line 634 prediction: class 0, actual: class 1
Line 635 prediction: class 0, actual: class 1
Line 636 prediction: class 1, actual: class 1
Line 637 prediction: class 1, actual: class 1
Line 638 prediction: class 0, actual: class 1
Line 639 prediction: class 0, actual: class 0
Line 640 prediction: class 0, actual: class 1
Line 641 prediction: class 0, actual: class 0
Line 642 prediction: class 0, actual: class 0
Line 643 prediction: class 0, actual: class 0
Line 644 prediction: class 1, actual: class 1
Line 645 prediction: class 0, actual: class 1
Line 646 prediction: class 0, actual: class 1
Line 647 prediction: class 1, actual: class 1
Line 648 prediction: class 0, actual: class 0
Line 649 prediction: class 1, actual: class 1
Line 650 prediction: class 0, actual: class 0
Line 651 prediction: class 1, actual: class 1
Line 652 prediction: class 0, actual: class 0
Line 653 prediction: class 0, actual: class 0
Line 654 prediction: class 0, actual: class 0
Line 655 prediction: class 0, actual: class 0
Line 656 prediction: class 0, actual: class 1
Line 657 prediction: class 0, actual: class 1
Line 658 prediction: class 0, actual: class 0
Line 659 prediction: class 0, actual: class 0
Line 660 prediction: class 0, actual: class 0
Line 661 prediction: class 0, actual: class 0
Line 662 prediction: class 0, actual: class 0
Line 663 prediction: class 0, actual: class 1
Line 664 prediction: class 0, actual: class 0
Line 665 prediction: class 0, actual: class 1
Line 666 prediction: class 0, actual: class 0
Line 667 prediction: class 0, actual: class 0
Line 668 prediction: class 0, actual: class 0
Line 669 prediction: class 0, actual: class 0
Line 670 prediction: class 1, actual: class 1
Line 671 prediction: class 0, actual: class 0
Line 672 prediction: class 1, actual: class 1
Line 673 prediction: class 1, actual: class 1
Line 674 prediction: class 1, actual: class 1
Line 675 prediction: class 0, actual: class 1
Line 676 prediction: class 0, actual: class 1
Line 677 prediction: class 0, actual: class 0
Line 678 prediction: class 0, actual: class 0
Line 679 prediction: class 0, actual: class 0
Line 680 prediction: class 0, actual: class 0
Line 681 prediction: class 0, actual: class 1
Line 682 prediction: class 0, actual: class 0
Line 683 prediction: class 0, actual: class 0
Line 684 prediction: class 0, actual: class 0
Line 685 prediction: class 0, actual: class 0
Line 686 prediction: class 0, actual: class 1
Line 687 prediction: class 0, actual: class 0
Line 688 prediction: class 1, actual: class 1
Line 689 prediction: class 1, actual: class 1
Line 690 prediction: class 0, actual: class 0
Line 691 prediction: class 0, actual: class 0
Line 692 prediction: class 0, actual: class 0
Line 693 prediction: class 1, actual: class 1
Line 694 prediction: class 0, actual: class 0
Line 695 prediction: class 0, actual: class 0
Line 696 prediction: class 0, actual: class 0
Line 697 prediction: class 0, actual: class 0
Line 698 prediction: class 0, actual: class 0
Line 699 prediction: class 0, actual: class 1
